ciao!,HI!
dai!,come on!
come?,How?
come stai?,How are you? (singular informal)
bene,Well
e tu?,And you?
c'è il WiFi?,Is there Wi-Fi?
sì,Yes
capito?,Understood?
no,No
come ti chiami?,What is your name?
mi chiamo ...,my name is ...
sono americana,I'm American
sono americano,I'm American
che bello!,How wonderful!
ti amo,I love you
grazie,Thank you
prego,You'are welcome; please (when offering)
cosa?,What?
cosa significa?,what does it mean?
non importa,It does not matter
va bene,All right
aiuto!,help!
dove?,Where?
dov'è il bagno?,where is the bathroom?
boh,dunno
per favore,please (when requesting)
sei un genio!,you are a genius!
la bocca,the mouth
il lupo,the wolf
in bocca al lupo,good luck
fantastico!,Fantastic!
congratulazioni!,Congratulations!
come va?,what's up?
piacere di conoscerti,pleasure to meet you
parli inglese?,do you speak english?
un po',a bit
parlo un po' di italiano,I speak a little Italian
non lo so,I do not know
mi dispiace,I am sorry
non capisco,I do not understand
ripetere,repeat
"puoi ripetere, per favore?","can you repeat, please?"
parlare,speak
lentamente,slowly
"parla più lentamente, per favore","speak more slowly, please"
scusa,Excuse me
non preoccuparti,Don't worry
sei italiano?,are you Italian?
penso di sì,I think so
sei italiana?,are you Italian?
penso di no,I think not
perché?,Why?
perché no?,why not?
buongiorno,Good morning
buonanotte,Good night
ho fame,I am hungry
buon appetito!,Enjoy your meal!
ho sete,I am thirsty
salute!,bottoms up!; a toast!
tieni,there you go
permesso,may I come in?
basta!,Enough!
lasciami in pace,leave me alone
ho fretta,I'm in a hurry
andiamo!,let's go!
certo!,Certain!
non ho voglia,I don't feel like it
che peccato!,what a pity!
attento!,watch out (to a man)
aspetta!,Wait!
attenta!,watch out (to a woman)
ti voglio bene,i love you (to family and friends)
a presto!,see you soon
